FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_291e,82,SSC20082,Aubrey,LGA27630,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_291f,83,SSC20083,Auchmore,LGA23940,3,50,58.08,3,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2920,64,SSC20064,Argyle,LGA22620,34,40.48,58.08,31,36.9,32.02,7,8.33,3.19,12,14.29,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2921,54,SSC20054,Arbuckle,LGA26810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2922,795,SSC20795,Dry Diggings,LGA22910,5,35.71,58.08,9,64.29,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2923,794,SSC20794,Drung,LGA23190,66,66.67,58.08,26,26.26,32.02,4,4.04,3.19,3,3.03,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2924,79,SSC20079,Aspendale Gardens,LGA23430,2037,58.08,58.08,1211,34.53,32.02,103,2.94,3.19,156,4.45,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2925,98,SSC20098,Bagshot,LGA22620,95,58.28,58.08,58,35.58,32.02,6,3.68,3.19,4,2.45,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2926,1074,SSC21074,Gowangardie,LGA22830,8,72.73,58.08,3,27.27,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2927,2479,SSC22479,Terrick Terrick,LGA23940,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2928,2487,SSC22487,The Heart,LGA26810,10,76.92,58.08,3,23.08,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2929,109,SSC20109,Ballapur,LGA21270,7,70,58.08,3,30,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292a,2488,SSC22488,The Honeysuckles,LGA26810,25,59.52,58.08,14,33.33,32.02,0,0,3.19,3,7.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292b,1884,SSC21884,Narre Warren South,LGA21610,8953,58.85,58.08,4804,31.58,32.02,371,2.44,3.19,1085,7.13,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292c,87,SSC20087,Avon Plains,LGA25810,4,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292d,78,SSC20078,Aspendale,LGA23430,2157,59.67,58.08,1191,32.95,32.02,111,3.07,3.19,156,4.32,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292e,2291,SSC22291,Soldiers Hill,LGA20570,776,53.44,58.08,493,33.95,32.02,59,4.06,3.19,124,8.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_292f,93,SSC20093,Ayrford,LGA25490,12,66.67,58.08,6,33.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2930,2650,SSC22650,Wallington,LGA22750,328,53.25,58.08,253,41.07,32.02,20,3.25,3.19,15,2.44,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2931,2803,SSC22803,Wiseleigh,LGA22110,36,46.75,58.08,30,38.96,32.02,3,3.9,3.19,8,10.39,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2932,95,SSC20095,Baddaginnie,LGA21010,81,47.37,58.08,65,38.01,32.02,8,4.68,3.19,17,9.94,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2933,124,SSC20124,Bamawm,LGA21370,150,60.48,58.08,75,30.24,32.02,14,5.65,3.19,9,3.63,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2934,2863,SSC22863,Wycheproof South,LGA21270,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2935,2492,SSC22492,Thomastown,LGA27070,4385,55.15,58.08,2523,31.73,32.02,224,2.82,3.19,819,10.3,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2936,112,SSC20112,Ballarat North,LGA20570,1002,56.17,58.08,593,33.24,32.02,63,3.53,3.19,126,7.06,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2937,173,SSC20173,Bayswater North,LGA24410,2845,61.24,58.08,1397,30.07,32.02,157,3.38,3.19,247,5.32,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2938,251,SSC20251,Blackburn,LGA26980,3957,56.19,58.08,2449,34.78,32.02,192,2.73,3.19,444,6.31,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2939,842,SSC20842,Edithvale,LGA23430,1852,61.45,58.08,927,30.76,32.02,76,2.52,3.19,159,5.28,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293a,2497,SSC22497,Thornton,LGA25620,86,58.9,58.08,50,34.25,32.02,10,6.85,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293b,105,SSC20105,Bald Hills,LGA20570,29,61.7,58.08,15,31.91,32.02,3,6.38,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293c,107,SSC20107,Ballan,LGA25150,748,56.5,58.08,428,32.33,32.02,51,3.85,3.19,97,7.33,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293d,2498,SSC22498,Thorpdale,LGA20830,116,49.15,58.08,86,36.44,32.02,15,6.36,3.19,19,8.05,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293e,844,SSC20844,Eildon,LGA25620,187,53.74,58.08,130,37.36,32.02,11,3.16,3.19,20,5.75,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_293f,845,SSC20845,Elaine,LGA25150,45,46.88,58.08,38,39.58,32.02,8,8.33,3.19,5,5.21,6.71,2016
